RSN,HPLVL,HPEXP,TOTLVL,TOTLVLADJ,VIRLVL,VIRLVLADJ,TOTEXP,TOTEXPADJ,CMBLVL,CMBLVLADJ,CMBEXPADJ,RSCORE,TIME
CatKathereen,10,1169,1205,1205,1205,1205,19222641,19222626,72,72,8160985,,1775164428
Chaos 12une,10,1154,340,340,344,344,62926069,62926069,69,69,21164182,250,1775164429
Chaos Mystic,9,1000,522,523,522,523,21479573,21479727,54,54,21225095,,1775164434
Charm Cape,10,1154,233,233,233,233,26045584,26045584,15,15,13450907,,1775164437
Charm XP,10,1154,2061,2061,2087,2087,335982296,335982296,27,27,119091105,,1775164440
Charmseeker,10,1154,2253,2253,2338,2338,1412430078,1412430078,15,15,200001154,8115,1775164442
cheesy003,10,1154,916,916,916,916,41009843,41009843,34,34,5447003,740,1775164443
cheesy004,10,1170,931,931,931,931,41092894,41092878,34,34,6619897,735,1775164444
cheesy005,10,1154,919,919,919,919,37454180,37454180,33,33,5481113,705,1775164445
cheesy008,10,1250,771,771,771,771,24557982,24557886,31,31,2877067,635,1775164446
Cherkov,10,1171,1621,1621,1621,1621,90780904,90780887,28,28,26357685,,1775164449
Chrimison,15,2488,1990,1985,2081,2076,1281353648,1281352314,30,28,21163476,2195,1775164453
Chris S,10,1216,1067,1067,1067,1067,44107323,44107261,67,67,42614001,,1775164456
Chrissi,10,1154,2068,2068,2109,2109,510886950,510886950,15,15,105628257,2765,1775164457
Citadel EXP,10,1154,260,260,260,260,14166011,14166011,14,14,7152945,,1775164462
Citrate,10,1201,2130,2130,2143,2143,494172511,494172464,15,15,15973005,4625,1775164463
Claros,10,1155,240,240,240,240,8894594,8894593,59,59,4594344,,1775164467
claymoth,9,1007,1667,1668,1667,1668,79702811,79702958,63,63,8217452,1670,1775164467
Clen Bixby,10,1263,2548,2548,2757,2757,2605697491,2605697382,66,66,257599115,7725,1775164468
Colater814,10,1154,545,545,545,545,14083800,14083800,67,67,13036134,,1775164473
Compartment,10,1191,1898,1898,1900,1900,119585025,119584988,67,67,32953835,2755,1775164477
Conjure Skil,10,1154,1492,1492,1492,1492,149654894,149654894,80,80,106993957,1475,1775164477
Constrct Bot,10,1154,2221,2221,2279,2279,1079067266,1079067266,15,15,55299831,,1775164481
Cordious,10,1176,3077,3077,3349,3349,4563488170,4563488148,129,129,1050320034,13640,1775164482
Cordycepz,12,1647,1773,1771,1773,1771,86857759,86857266,54,53,2321089,1550,1775164486
Couldyounot,15,2436,568,563,568,563,9079541,9078259,56,55,2231907,,1775164492
CozySkills,10,1154,1648,1648,1648,1648,180005054,180005054,14,14,3903040,,1775164495
Cpe,9,1073,950,951,956,957,39389351,39389432,42,42,37253261,,1775164497
Cpl Applsauc,10,1154,2325,2325,2493,2493,1965815718,1965815718,15,15,105129619,5635,1775164499
Creak,10,1154,1349,1349,1349,1349,49570645,49570645,15,15,13072538,1230,1775164502
Crodious,10,1203,3122,3122,3400,3400,5599929455,5599929406,129,129,1599929406,12630,1775164503
Crodious F2P,10,1154,193,193,193,193,789708,789708,12,12,776825,,1775164506
Crodious IX,9,1000,1075,1076,1075,1076,3362761,3362915,51,51,374863,,1775164509
Crushlyre305,10,1255,1691,1691,1694,1694,101288596,101288495,46,46,21372212,1545,1775164512
Cut   In,10,1154,502,502,502,502,26327036,26327036,55,55,8872178,,1775164514
Cut Wood plz,10,1156,1453,1453,1453,1453,132872473,132872471,15,15,13152268,,1775164517
Cutdebtriyl,10,1154,1133,1133,1133,1133,65807118,65807118,74,74,17767361,,1775164522
cutie cat24,11,1415,613,612,613,612,1854255,1853994,23,23,1363900,,1775160882
Cyberbattle,10,1336,745,745,745,745,6204108,6203926,62,62,1219677,,1775164530
D e l u l u,10,1154,248,248,248,248,23122805,23122805,67,67,13291436,220,1775164531
D3F BERSERK,10,1180,1193,1193,1200,1200,43574628,43574602,29,29,26419859,815,1775164532
D3fence Pur3,10,1154,394,394,394,394,14894062,14894062,27,27,13479482,275,1775164533
Dad Duty,10,1175,2182,2182,2236,2236,663454582,663454561,40,40,137262222,3930,1775164533
Dai Ichi,10,1154,1677,1677,1677,1677,64906497,64906497,89,89,8131112,,1775164538
Daily,10,1154,2429,2429,2686,2686,4400001196,4400001196,27,27,400001196,15545,1775164539
daiyan II,15,2505,1111,1106,1111,1106,78168423,78167072,47,46,13244738,,1775164542
DanaNothin,10,1154,703,703,703,703,43552664,43552664,68,68,42885767,,1775164545
Danny Declan,10,1167,2137,2137,2183,2183,803379973,803379960,15,15,200001195,3880,1775164546
Darketomaly,10,1154,2632,2632,2767,2767,2494087312,2494087312,129,129,1400001154,,1775164549
Data Echo,10,1154,1914,1914,1916,1916,208806350,208806350,24,24,13903090,,1775164552
Ddrama Llama,10,1192,2331,2331,2504,2504,3102796649,3102796611,15,15,200001194,2585,1775164553
Dead Drool,10,1205,351,351,351,351,9505446,9505395,59,59,2189302,,1775164555
deadmage21,10,1206,1914,1914,1935,1935,355687238,355687186,89,89,11953376,1575,1775164556
DeadToBrain,10,1154,1694,1694,1694,1694,109940511,109940511,12,12,1115405,2625,1775164561
DEATHBOX,9,1083,1246,1247,1246,1247,30477552,30477623,75,76,6520791,1000,1775164563
Deathlotus,9,1060,2961,2962,3080,3081,1874460785,1874460879,129,129,429299541,5125,1775164564
Def Brif,10,1355,2322,2322,2399,2399,1614295339,1614295138,27,27,200001266,3480,1775164565
Def n Skill,11,1402,1163,1162,1163,1162,58095196,58094948,28,27,1017457,,1775164567
Defence_I,10,1202,1868,1868,1874,1874,219035335,219035287,39,39,28497654,,1775164572
Degen4Love,10,1154,138,138,138,138,11021508,11021508,65,65,11021120,100,1775164573
Delacrosi,11,1518,781,780,781,780,227856423,227856059,86,86,200023307,575,1775164574
Delzetta,10,1176,146,146,146,146,37816325,37816303,73,73,37816303,,1775164577
Delzette,10,1176,145,145,145,145,33935280,33935258,72,72,33935258,,1775164580
DenkHelder,10,1163,714,714,714,714,16204852,16204843,53,53,13362808,555,1775164583
Deobfuscated,10,1154,382,382,382,382,1862839,1862839,52,52,1396835,,1775164587
Dexamfe,12,1597,159,157,159,157,465862,465419,15,15,426167,85,1775164590
Dfns,10,1198,136,136,145,145,34126150,34126106,27,27,34126096,190,1775164591
DG Div,10,1154,2153,2153,2170,2170,458945274,458945274,93,93,44305379,2500,1775164593
Dinarrow,9,1000,2196,2197,2213,2214,181651124,181651278,95,95,89330664,1690,1775164595
Dirt Claud,10,1154,1130,1130,1135,1135,59410612,59410612,69,69,19052083,880,1775164597
Discordt,10,1154,1463,1463,1463,1463,11291512,11291512,59,59,837889,2145,1775164598
Dissarronnol,10,1154,637,637,637,637,19052655,19052655,13,13,2100963,510,1775164599
div dog,10,1179,1460,1460,1467,1467,277970124,277970099,94,94,47559688,2005,1775164599
divdung,10,1172,1500,1500,1511,1511,71384154,71384136,15,15,13082597,,1775164606
Diversus,10,1212,176,176,176,176,5461647,5461589,61,61,5360092,,1775164609
Divine Nerd,10,1169,1914,1914,1914,1914,62791630,62791615,79,79,4417374,2330,1775164611
Diviner 001,10,1154,420,420,420,420,7695988,7695988,13,13,2217437,,1775164613
DoDaDewey,10,1154,2926,2926,2944,2944,798588582,798588582,120,120,152779798,5755,1775164614
doiz,10,1167,2109,2109,2176,2176,801428713,801428700,15,15,143161042,2055,1774742926
Doll Caster,10,1230,909,909,909,909,6299178,6299102,78,78,3110895,,1775164620
domiyak,10,1190,2416,2416,2644,2644,3673331375,3673331339,70,70,54402798,5955,1775164624
Donumi,10,1154,835,835,835,835,43204998,43204998,27,27,20629292,,1775164628
